101,Смирнов Александр,Омская область,Новосибирск
102,Попов Дмитрий,Тюменская область,Пермь
103,Смирнов Артем,Свердловская область,Тюмень
104,Иванов Сергей,Новосибирская область,Новосибирск
105,Новиков Артем,Тюменская область,Пермь
106,Попов Ольга,Пермский край,Екатеринбург
107,Попов Евгений,Пермский край,Омск
108,Иванов Наталья,Новосибирская область,Екатеринбург
109,Петров Алексей,Новосибирская область,Новосибирск
110,Петров Сергей,Тюменская область,Екатеринбург
111,Смирнов Максим,Омская область,Пермь
112,Васильев Наталья,Тюменская область,Екатеринбург
113,Новиков Сергей,Свердловская область,Тюмень
114,Новиков Алексей,Пермский край,Омск
115,Федоров Андрей,Тюменская область,Тюмень
116,Попов Наталья,Омская область,Тюмень
117,Попов Екатерина,Тюменская область,Екатеринбург
118,Васильев Евгений,Омская область,Новосибирск
119,Петров Максим,Новосибирская область,Омск
120,Смирнов Артем,Новосибирская область,Пермь
121,Попов Дмитрий,Свердловская область,Екатеринбург
122,Васильев Анна,Пермский край,Новосибирск
123,Петров Екатерина,Тюменская область,Новосибирск
124,Иванов Наталья,Омская область,Екатеринбург
125,Васильев Сергей,Новосибирская область,Пермь
126,Петров Андрей,Свердловская область,Екатеринбург
127,Михайлов Дмитрий,Омская область,Новосибирск
128,Попов Ольга,Пермский край,Пермь
129,Васильев Ольга,Пермский край,Екатеринбург
130,Федоров Иван,Омская область,Новосибирск
131,Кузнецов Михаил,Свердловская область,Тюмень
132,Иванов Екатерина,Тюменская область,Новосибирск
133,Кузнецов Наталья,Свердловская область,Пермь
134,Смирнов Иван,Свердловская область,Пермь
135,Михайлов Михаил,Омская область,Пермь
136,Иванов Елена,Тюменская область,Пермь
137,Васильев Наталья,Омская область,Тюмень
138,Васильев Иван,Новосибирская область,Екатеринбург
139,Иванов Ольга,Омская область,Пермь
140,Кузнецов Михаил,Тюменская область,Омск
141,Новиков Артем,Новосибирская область,Новосибирск
142,Петров Наталья,Новосибирская область,Пермь
143,Новиков Анна,Тюменская область,Пермь
144,Петров Евгений,Тюменская область,Тюмень
145,Петров Анна,Омская область,Новосибирск
146,Иванов Андрей,Пермский край,Тюмень
147,Смирнов Ольга,Свердловская область,Тюмень
148,Новиков Наталья,Новосибирская область,Новосибирск
149,Михайлов Михаил,Новосибирская область,Омск
150,Новиков Екатерина,Пермский край,Екатеринбург
